timepoint	epi	muscle	neuron
3_41_3	10dpa1	-0.0164683581860772	0.702664448337002	0.0673754420420077
3_44_3	10dpa1	0.567374105103744	0.711461071916344	0.181318532277136
3_45_3	10dpa1	0.557036178418772	0.355537305333811	-0.0203903203434364
3_46_3	10dpa1	0.621628229728007	0.721465531328813	-0.0406551862933172
3_47_3	10dpa1	0.616931880220624	0.584665910014207	-0.0297027357129092
3_48_3	10dpa1	-0.108620506272897	0.0536048149281119	0.295366474081235
3_49_3	10dpa1	0.389736495329209	0.296951698925041	0.162400197541976
3_50_3	10dpa1	0.220108991202289	0.462206539458382	-0.0972679590692488
3_51_0_3	10dpa1	0.227648461971043	0.284863140074326	0.106873928317052
3_51_1_3	10dpa1	0.296068456348445	0.697251562814641	0.222765965884082
3_52_0_3	10dpa1	0.4823432772089	0.620018086664391	-0.100917477239256
3_52_1_3	10dpa1	0.621739446811713	0.491637963811031	-0.0317313573564591
3_53_0_3	10dpa1	0.407055537584657	0.603556607231535	-0.0332897566097874
3_53_1_3	10dpa1	0.398844299369775	0.587574702369261	-0.197610937557081
3_54_0_3	10dpa1	0.51658259579451	0.680095839918636	-0.157451935212626
3_54_1_3	10dpa1	0.391992928272837	0.48269774294691	0.0221836821105494
3_55_3	10dpa1	0.504883025628788	0.402384850479433	0.00246817964352852
3_56_3	10dpa1	0.178701847324333	0.469657259195449	-0.271215202077932
3_57_0_3	10dpa1	-0.33090144602885	0.140097020077886	-0.174118367501755
3_57_1_3	10dpa1	-0.0116366083765094	0.435506086581272	-0.216556679943585
3_59_0_3	10dpa1	0.302805084450052	0.924528714529488	0.188568069043222
3_60_0_3	10dpa1	0.446474194327488	0.117216133649244	0.427405051996361
3_60_1_3	10dpa1	-0.147278085469237	0.503216748231747	-0.0623529387004466
3_61_3	10dpa1	0.0729448609645309	0.678749574302747	0.0642830492149132
3_62_3	10dpa1	1.08967293482816	0.361029420860917	-0.249764643023838
3_64_3	10dpa1	0.473667675499319	0.699772766173258	-0.024957154064919
3_65_0_3	10dpa1	0.378742184486103	0.555392349042295	-0.0542094882492977
3_65_1_3	10dpa1	0.89277774252524	0.949634421925051	-0.1190205387486
3_68_0_3	10dpa1	0.566177432361697	1.0091094565135	0.0400078679942865
3_68_1_3	10dpa1	0.92365789840948	0.596734894508329	-0.0283834763320041
3_69_0_3	10dpa1	0.651285438882834	0.125490410585816	0.016071806434597
3_69_1_3	10dpa1	0.448615154763599	0.405691248660321	-0.161686596435983
3_73_3	10dpa1	-0.0964490547536294	0.729903338074807	-0.206847666025464
3_118_1_3	10dpa1	0.481301566978908	0.559317403497161	-0.115516195049064
3_119_3	10dpa1	0.512370631075137	0.603012709040413	0.0550880682915243
3_121_3	10dpa1	0.353486321613499	0.964216949045095	-0.201965802000388
30_46_3	10dpa1	0.943214630194482	0.638951202332033	0.138189098645118
6_140_0_3	10dpa1	0.690752843748968	0.405457666961019	0.0960472418804216
6_140_1_3	10dpa1	0.627555238177276	0.731735443558252	0.151939304973065
6_140_2_3	10dpa1	0.532327840274028	0.37939357331466	0.210857713350019
6_140_3_3	10dpa1	0.946058919197749	0.42839548646416	-0.0467992358462732
6_140_4_3	10dpa1	0.854003298257159	0.676918028146352	-0.0424003269694369
6_140_5_3	10dpa1	0.555941120603624	0.737004322539664	0.0106704907963454
6_142_0_3	10dpa1	1.01977961396181	0.583147937145086	-0.174320523384606
6_142_1_3	10dpa1	0.715178472689947	0.575247966247194	0.0480115223988922
6_142_2_3	10dpa1	0.931940130422256	0.504475363813398	0.0905580411837751
6_144_3	10dpa1	0.631415765825285	0.936521795227874	0.0724502139031759
6_147_3	10dpa1	0.647445712732455	0.428981453541903	0.204511714683463
