	AP	frizzled5/8-4	ndk	zic-2	prep	sfrp-1	fz5_8-3	ndl-4	ndl-1	ptk7	ndl-3	wntA	teashirt	wntP-2 / wnt11-5	wntless	sfrp-2	wnt2	ndl-2	ndl-5	wnt11-2	dd4427	dd13065	sp5	fz4-1	Post-2c	hox4b
110	109	3.052586758	3.021271368	0.933438639	3.753055988	0.437669124	3.457705168	1.805741838	13.6571809	2.081028575	4.426431465	11.68070092	5.63460506	5.749586224	7.030194434	4.903610492	1.692302476	5.967043015	4.461915714	0.862080189	6.875933483	0.858041111	2.043661906	0.711689243	0.584119246	1.556016989
111	110	3.14805566	2.659011623	0.975152122	3.717207547	0.425363436	3.578999223	1.803398758	15.11125079	1.937251881	4.089739488	11.07370545	6.083550816	6.503682285	5.807113709	4.90791206	1.73420168	6.042986494	3.654021875	0.825955609	6.417850375	0.855843883	1.981949975	0.691176139	0.593962628	1.300427371
112	111	3.664505451	2.651508347	1.097442656	4.36785782	0.414278006	4.310635348	1.6547	16.96926456	2.028208073	3.96615203	10.30012875	5.371481378	6.814245187	6.268586471	5.205587295	1.445683799	6.877499129	3.298067895	0.792904928	7.215969479	0.816872644	1.842158304	0.690250954	0.609535189	1.201842093
113	112	3.926859602	2.39381511	1.009492429	3.931672502	0.403265422	4.960393945	1.452427436	17.37652611	1.959961153	4.459380538	11.71570681	4.207347211	6.761590295	6.548957628	5.095085257	1.327448929	5.347154269	3.164118472	0.761017997	7.32793436	0.781554146	2.030281894	0.662821971	0.626543528	1.12143492
114	113	3.580816922	2.453129438	1.064280871	3.965374385	0.439856001	4.73641272	1.589355049	12.74231354	2.16118295	4.877232975	11.94932316	3.456793563	6.039506551	6.140389926	4.215669915	1.327992851	5.49555532	2.965992842	0.731342166	7.612318583	0.797468134	2.196123746	0.63809126	0.64392955	1.150090386
115	114	4.362126913	2.105103803	1.049771547	4.007904782	0.412766092	3.793570512	1.515300527	12.22576392	2.152755019	5.326008808	12.55059327	3.666274229	5.950486594	5.802460038	4.372257003	1.330874134	4.336278795	3.613152384	0.761986223	7.572446991	0.730079251	2.213973381	0.615139637	0.698237983	1.159754675
116	115	4.420825311	2.012626867	1.115100433	4.558400966	0.422713528	3.962019301	1.509186438	11.3054112	2.430680725	5.209160413	12.07218515	2.924341052	6.382590149	6.004303938	5.147017381	1.327451104	5.65817649	3.572467992	0.727040312	8.028221958	0.760268766	2.304662024	0.673042036	0.64886014	1.236292615
117	116	4.478331678	2.501883794	1.183723313	5.305751988	0.411294159	4.24986655	1.396687803	8.709658586	2.288030529	5.233149967	12.38767338	3.492670439	6.581390091	5.606533748	5.582931842	1.370492091	5.930444062	3.718575331	0.762845803	7.764957059	0.795704578	2.653774155	0.613062607	0.669551559	1.153242646
118	117	4.092377417	2.310932884	1.254125824	6.173124148	0.400873229	4.583875879	1.296755775	9.513999527	2.359028273	5.100572852	10.97884988	3.256192152	6.674827542	5.991538231	5.451099086	1.327665375	5.682828518	3.669711354	0.78774813	8.00174581	0.795266692	3.16753247	0.553312822	0.689487079	1.079866061
119	118	4.33409298	2.550679414	1.172535766	5.789643466	0.391297568	4.607091863	1.328649894	11.07344124	2.745965433	3.970781074	11.54968953	3.333367304	7.089785704	7.261480624	5.476430198	1.359898953	5.031655941	3.875647366	0.816282626	7.606974094	0.757856606	3.16522881	0.570680378	0.70982105	1.013924465
